公司 关联公司数 投资层级数 此表关联公司
寿光市海恒威水产品有限公司 0 1 0
山东圣龙钢结构有限公司 1 2 0
潍坊元鸣机械有限公司 1 2 0
寿光渤海物流园有限公司 2 2 0
山东政和商务有限公司 0 1 0
山东华庆实业有限公司 0 1 0
寿光玉晶商贸有限公司 0 1 0
山东寿光东龙聚酯有限公司 0 1 0
利丰农业发展股份有限公司 0 1 0
寿光市艾格伦进出口有限公司 0 1 0
山东英利实业有限公司 2 2 0
寿光市吉龙轻工制品有限公司 1 2 0
山东永通塑业股份有限公司 0 1 0
潍坊安固橡胶工业有限公司 0 1 0
潍坊惠普化工有限责任公司 0 1 0
山东寿光神润发海洋化工有限公司 2 2 0
寿光市三洋木制品有限公司 1 2 0
寿光市正通化工有限公司 0 1 0
山东东宇工贸集团股份有限公司 6 2 0
寿光伟华化工有限公司 0 1 0
山东省寿光市秀峰实业有限公司 0 1 0
山东亿嘉农化有限公司 4 2 0
寿光坤都建设集团有限公司 2 2 0
山东中鸿机械制造有限公司 0 1 0
山东澳得利化工有限公司 0 1 0
潍坊汇通矿业开发有限公司 0 1 0
山东科润生物化工有限公司 1 2 0
潍坊华日橡胶有限公司 1 2 0
山东悦宾包装有限公司 0 1 0
山东东方誉源现代农业集团有限责任公司 6 3 1
山东老伙计化工有限公司 1 2 0
山东维多利现代农业发展有限公司 9 3 0
山东博润实业有限公司 4 3 0
山东元鸣生物科技有限公司 3 3 0
山东金利丰生物科技股份有限公司 0 1 0
潍坊玉晶玻璃科技有限公司 0 1 0
潍坊百瑞经贸有限公司 0 1 0
山东福瑞化工有限公司 7 3 0
